user_id,rscs_1,rscs_2,rscs_3,rscs_4,rscs_5,rscs_6,rscs_7,rscs_8,rscs_9,rscs_10,rscs_11,rscs_12,rscs_13,rscs_14,rscs_15,rscs_16
li_ri_2000_03_23_998_f,2,3,4,1,3,3,3,2,2,3,1,3,1,3,3,2
gi_pi_1997_10_29_583_f,2,2,4,3,4,2,2,2,2,2,2,4,3,4,3,3
su_ri_2003_01_12_879_f,3,2,4,2,4,2,2,2,3,3,2,3,3,4,3,4
lu_te_2002_05_01_691_m,2,2,4,1,4,2,2,1,3,3,1,3,2,4,3,3
ir_bu_1996_02_01_144_f,3,3,4,2,3,2,2,2,3,3,2,3,2,4,3,3
el_pu_2002_11_04_983_f,3,3,4,2,3,3,3,2,3,3,2,2,1,4,2,3
ma_ol_1998_05_20_876_f,2,2,4,2,4,2,2,2,4,4,2,3,2,4,4,4
so_ca_1998_02_28_630_f,2,4,4,2,4,3,4,1,2,2,1,3,2,4,2,2
cl_nu_1998_09_11_110_f,3,2,3,2,3,2,2,1,2,3,1,3,2,4,3,3
lu_ta_2002_06_07_018_f,3,1,4,1,4,1,1,1,4,3,2,1,2,4,3,4
le_pe_2000_06_03_133_m,2,3,4,1,4,1,2,1,3,3,1,3,3,4,3,3
wi_tr_1998_06_12_105_m,3,3,2,3,3,3,3,2,3,3,2,3,3,2,3,3
re_se_2002_08_20_598_f,2,2,4,3,4,2,2,1,2,3,1,3,3,4,3,3
vi_fl_1998_10_17_074_f,3,2,4,3,3,2,2,2,3,3,3,3,2,4,4,3
il_de_1988_09_10_739_f,4,2,4,2,4,2,2,1,3,2,2,4,2,4,3,2
gi_va_2002_01_25_202_f,2,2,4,2,4,2,2,1,2,2,1,3,2,4,1,2
yl_te_2002_05_28_047_f,3,1,4,2,4,3,2,1,4,4,1,2,3,4,4,4
er_fa_1995_08_03_469_f,2,4,4,4,3,3,4,1,3,2,3,4,4,4,2,3
no_po_1999_12_16_983_f,2,3,4,2,4,4,3,1,2,2,1,2,2,4,2,2
al_sa_2001_12_15_910_m,2,1,4,3,4,3,3,2,3,3,2,4,3,4,3,4
to_to_2002_06_09_367_m,2,2,4,3,4,3,3,1,3,2,2,3,1,4,3,3
ir_ma_2002_07_03_236_f,2,4,4,2,3,4,4,1,4,2,1,3,2,4,3,4
no_ga_1997_05_07_157_f,2,2,4,4,4,3,2,1,3,3,1,4,4,4,3,3
da_ma_1998_04_08_562_m,2,4,3,3,3,3,4,2,2,4,2,3,3,4,3,3
ma_ma_2001_09_18_345_f,3,2,4,2,4,3,2,2,3,3,1,3,2,4,4,4
gi_pa_2002_10_12_305_f,3,2,4,2,3,2,2,1,3,3,2,2,2,3,3,4
as_pa_2002_08_12_709_f,4,2,4,3,4,1,2,1,4,3,2,2,3,4,4,4
lo_sc_2002_11_29_242_m,3,2,4,2,3,2,3,1,2,2,2,2,2,3,3,2
gi_po_2001_05_08_620_m,4,2,4,3,4,3,3,1,3,3,1,4,3,4,3,3
as_to_2002_10_16_853_f,2,3,4,1,3,3,3,2,3,2,2,3,2,4,3,3
ti_mo_1995_09_23_529_m,1,2,4,2,4,2,2,1,4,3,1,3,2,4,3,4
ja_na_2001_10_12_379_m,2,3,3,3,3,3,3,1,2,2,2,3,2,3,2,3
fr_la_1985_01_29_074_m,2,2,4,2,2,3,3,1,2,2,3,4,3,3,2,3
as_so_1997_08_07_814_f,3,3,3,2,3,2,3,1,3,3,1,3,2,3,3,3
ma_va_2002_05_28_277_f,1,4,3,1,4,4,4,1,1,2,2,1,1,4,2,2
ma_me_2002_09_24_164_f,2,2,4,3,4,2,2,1,3,3,2,2,3,4,3,3
da_pa_1999_11_10_406_m,2,2,3,1,3,2,2,3,3,1,2,2,1,3,2,2
st_nu_2003_03_17_054_f,2,3,3,2,3,4,3,2,4,3,2,2,2,3,3,4
gr_ni_2002_12_07_797_f,2,2,3,1,4,3,3,2,2,2,3,2,2,3,2,2
lu_pa_2001_10_30_998_f,1,4,4,1,4,3,4,1,3,3,1,3,1,4,3,4
an_mo_2002_08_25_118_f,2,3,4,3,2,3,3,2,2,2,1,3,3,4,2,2
be_ud_2002_07_18_729_f,2,3,4,2,3,3,4,1,2,3,1,2,2,4,3,3
sa_sa_2000_03_16_128_f,3,4,4,1,3,4,4,1,3,3,2,2,1,4,3,3
al_ra_1994_06_28_588_m,3,3,3,2,2,3,3,2,1,3,3,3,2,3,3,3
sa_ta_2001_03_30_732_f,2,2,4,2,4,2,2,1,2,2,1,2,2,3,2,2
el_re_2002_10_30_636_f,3,2,3,2,3,2,2,1,2,2,1,4,2,4,2,3
ga_lo_2002_09_06_662_f,2,1,3,3,3,2,2,1,3,3,2,3,3,4,3,3
li_pa_1971_06_11_419_f,3,3,4,3,4,3,3,1,3,3,2,3,3,4,3,3
